Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-12-11,7251.63,7278.02,7153.08,7204.61
2019-12-12,7204.61,7299.27,7102.27,7199.42
2019-12-13,7199.42,7299.27,7199.42,7267.44
2019-12-16,7127.58,7153.08,6854.01,6901.31
2019-12-17,6896.55,6944.44,6596.31,6600.66
2019-12-18,6600.66,7363.77,6459.95,7363.77
2019-12-19,7446.02,7446.02,7062.15,7168.46
2019-12-20,7168.46,7225.43,7092.2,7220.22
2019-12-23,7418.4,7698.23,7272.73,7299.27
2019-12-24,7299.27,7418.4,7183.91,7189.07
2019-12-26,7215.01,7434.94,7163.32,7209.81
2019-12-27,7204.61,7267.44,7087.17,7230.66
2019-12-30,7401.92,7418.4,7215.01,7267.44
2019-12-31,7267.44,7309.94,7132.67,7194.24
2020-01-02,7189.07,7199.42,6930.01,6968.64
2020-01-03,6968.64,7412.9,6877.58,7326.01
2020-01-06,7347.54,7745.93,7326.01,7722.01
2020-01-07,7716.05,8190.01,7716.05,8032.13
2020-01-08,8045.05,8453.09,7880.22,8071.03
2020-01-09,8071.03,8103.73,7751.94,7806.4
2020-01-10,7806.4,8123.48,7686.4,8071.03
2020-01-13,8149.96,8190.01,8051.53,8116.88
2020-01-14,8116.88,8826.13,8103.73,8748.91
2020-01-15,8726,8880.99,8576.33,8849.56
2020-01-16,8849.56,8857.4,8591.07,8718.4
2020-01-17,8710.8,8992.81,8673.03,8865.25
2020-01-20,8628.13,8733.62,8517.89,8665.51
2020-01-21,8643.04,8771.93,8503.4,8710.8
2020-01-22,8710.8,8787.35,8576.33,8643.04
2020-01-23,8635.58,8665.51,8291.87,8396.31
2020-01-24,8396.31,8510.64,8230.45,8481.76
2020-01-27,8568.98,8984.73,8561.64,8904.72
2020-01-28,8896.8,9182.74,8888.89,9149.13
2020-01-29,9140.77,9425.07,9115.77,9337.07
2020-01-30,9337.07,9560.23,9199.63,9560.23
2020-01-31,9560.23,9560.23,9216.59,9310.99
